group,category,value
Group A,Category 1,8
Group A,Category 2,0
Group A,Category 3,5
Group A,Category 4,3
Group A,Category 5,4
Group A,Category 6,1
Group A,Category 7,7
Group A,Category 8,2
Group A,Category 9,0
Group B,Category 1,5
Group B,Category 2,1
Group B,Category 3,1
Group B,Category 4,4
Group B,Category 5,7
Group B,Category 6,4
Group B,Category 7,2
Group B,Category 8,2
Group B,Category 9,2
Group C,Category 1,3
Group C,Category 2,7
Group C,Category 3,1
Group C,Category 4,1
Group C,Category 5,8
Group C,Category 6,4
Group C,Category 7,8
Group C,Category 8,1
Group C,Category 9,8
Group D,Category 1,6
Group D,Category 2,1
Group D,Category 3,4
Group D,Category 4,4
Group D,Category 5,3
Group D,Category 6,0
Group D,Category 7,7
Group D,Category 8,8
Group D,Category 9,2
